f242900,琉球HEAT 宜野湾店,りゅうきゅうひーと ぎのわんてん
fay2900,魚升,うおます
fb9k600,com‐place,こむぷれいす
fb4p800,FISH TAIL グリルアンドワイン,ふぃっしゅているぐりるあんどわいん
fb3k800,ビストロ食堂 Chez Nori,びすとろしょくどうしぇのり
fak6800,ホルモン食堂 ほんまる,ほるもんしょくどうほんまる
f740300,いくた,いくた
fb66100,還元レストラン オーシャン8,かんげんれすとらんおーしゃんえいと
fajc900,農場カフェ たいよう市場,のうじょうかふぇたいよういちば
f453402,ガスト 宜野湾長田店,がすと ぎのわんながたてん
f145806,アラカキッチン,あらかきっちん
fb4k100,オイナリアン ぎのわん本店,おいなりあん ぎのわんほんてん
f548000,炭火焼肉 GOSAMARU,すみびやきにくごさまる
f533846,サンマルクカフェ イオンモール沖縄ライカム店,さんまるくかふぇ いおんもーるおきなわらいかむてん
fb60100,あしびJima,あしびじま
f387100,ぽこ あ ぽこ,ぽこあぽこ
f386801,里べ炉（リベロ）,りべろ
f431700,焼肉・居酒屋　はなゆう,やきにくいざかやはなゆう
f160500,海人工房 一郎屋,うみんちゅこうぼういちろうや
fah8000,炭火焼とり ながた 宜野湾店,すみびやきとりながた ぎのわんてん
fb5y200,うみちか食堂,うみちかしょくどう
f467705,居酒屋 魚関,いざかやうおぜき
f185500,がぶり,がぶり
f755329,無添くら寿司 イオンモール沖縄ライカム店,むてんくらずし いおんもーるおきなわらいかむてん
f500403,CoCo壱番屋 ラウンドワン宜野湾店,ここいちばんや らうんどわんぎのわんてん
f533848,バケット イオンモール沖縄ライカム店,ばけっと いおんもーるおきなわらいかむてん
fb5h000,らーめん 一鉄,らーめんいってつ
f483316,マクドナルド 58号大謝名店,まくどなるど ごじゅうはちごうおおじゃなてん
fb5v300,炭焼とワインの店 Ligar,すみやきとわいんのみせりがーる
f457000,真,しん
fb1e700,ピッツァ TOGO,ぴっつぁとーご
fb19500,創食酒楽 はこ,そうしょくしゅらくはこ
f480700,居酒屋 まじゅん,いざかやまじゅん
fb5g900,沖縄そば処 はなきなぁ～,おきなわそばどころはなきなぁー
fap3700,お好み焼 三四郎,おこのみやきさんしろう
f357800,左膳,さぜん
f475400,孔雀樓,くじゃくろう
fb3e000,炭火焼ダイニング 月の花,すみびやきだいにんぐつきのはな
fb32001,海人酒房 イオンモール沖縄ライカム,うみんちゅしゅぼう いおんもーるおきなわらいかむ
fb94400,梅酒BAR 夢月,うめしゅばーむつき
f186001,サムズ アンカーイン 宜野湾店,さむずあんかーいん ぎのわんてん
fasv200,ワイン食堂 A．LAKAKI－YA,わいんしょくどうあらかきや
f463701,串角 我如古店,くしかど がねこてん
faww100,エスプレッソ Cafe クレマ,えすぷれっそかふぇくれま
f104301,牛吉 牧港店,うしきち まきみなとてん
f509542,サブウェイ イオンモール沖縄ライカム店,さぶうぇい いおんもーるおきなわらいかむてん
f533850,鎌倉パスタ イオンモール沖縄ライカム店,かまくらぱすた いおんもーるおきなわらいかむてん
f483746,マクドナルド 宜野湾バイパス店,まくどなるど ぎのわんばいぱすてん
f483327,マクドナルド 330瑞慶覧店,まくどなるど さんびゃくさんじゅうずけらんてん
f483315,マクドナルド 宜野湾店,まくどなるど ぎのわんてん
fb71200,沖縄料理としゃぶしゃぶのお店 赤瓦（あかがーら）,おきなわりょうりとしゃぶしゃぶのおみせあかがーら
fb32004,WILD OCEAN イオンモール沖縄ライカム,わいるどおーしゃん いおんもーるおきなわらいかむ
f687402,レッドロブスター 沖縄ライカム店,れっどろぶすたー おきなわらいかむてん
fb8h200,バーあまくま,ばーあまくま
fb4x211,大戸屋 ごはん処 宜野湾店,おおとやごはんどころ ぎのわんてん
fb7y600,地酒とワインと焼鳥 Tui,じざけとわいんとやきとりとぅい
faua700,レストラン フェストーネ,れすとらんふぇすとーね
fayv600,炭火Bar Gulu Gulu,すみびばーぐるぐる
f545596,リンガーハット イオンモール沖縄ライカム店,りんがーはっと いおんもーるおきなわらいかむてん
fb5a543,すき家 58号宜野湾大謝名店,すきや ごじゅはちごうぎのわんおおじゃなてん
f386800,一歩,いっぽ
f401700,至福のコンビ響や・大吉 コンベンションシティー店,しふくのこんびひびきやだいきち こんべんしょんしてぃーてん
f217841,DINING 南’s,だいにんぐなんず
fb2p200,串焼きとワイン 一羽,くしやきとわいんいちわ
fb5v106,丸亀製麺 イオンモール沖縄ライカム店,まるがめせいめん いおんもーるおきなわらいかむてん
f515440,ロイヤルホスト 沖縄ライカム店,ろいやるほすと おきなわらいかむてん
fb59966,すき家 329号北中城店,すきや さんびゃくにじゅうきゅうごうきたなかぐすくてん
fb32000,Orion BEER HALL イオンモール沖縄ライカム,おりおんびあほーる いおんもーるおきなわらいかむ
f447900,ローズガーデン,ろーずがーでん
fb1p600,亜洲飯店,あじあはんてん
faew900,旬鮮炉端 炙り者～あぶりもん～,しゅんせんろばたあぶりもん
f150000,旨い処 ひのえ,うまいどころひのえ
fas1600,Kozy’s Pizza,こーじーぴざ
fb5z103,カウボーイファミリー 沖縄ライカム店,かうぼーいふぁみりー おきなわらいかむてん
fb5v102,丸亀製麺 宜野湾店,まるがめせいめん ぎのわんてん
f177677,コロッケ倶楽部 中城店,ころっけくらぶ なかぐすくてん
fb4w200,沖縄そば ザ！ 歓福,おきなわそばざかんぷく
fb0w500,吉嶺,ゆしんみ
fb32002,焼肉北中城 イオンモール沖縄ライカム,やきにくきたなかぐすく いおんもーるおきなわらいかむ
f474500,亀千人 宜野湾コンベンション店,かめせんにん ぎのわんこんべんしょんてん
f483784,マクドナルド イオンモール沖縄ライカム店,まくどなるど いおんもーるおきなわらいかむてん
f186002,サムズ カフェ,さむずかふぇ
f145805,大衆居酒屋 やきとん だいちゃん,たいしゅういざかややきとんだいちゃん
kcpm064,串家物語 イオンモール沖縄ライカム店,くしやものがたり いおんもーるおきなわらいかむてん
7009997,しゃぶしゃぶ温野菜 宜野湾店,しゃぶしゃぶおんやさい ぎのわんてん
6417261,台湾小吃「花蓮」,たいわんしゃおちーかれん
5514672,東京池袋大勝軒 沖縄宜野湾店,とうきょういけぶくろたいしょうけんおきなわぎのわんてん
7104052,ショットバー＆カラオケ モンタナ,しょっとばーあんどからおけもんたな
6274764,とよむ,とよむ
7113023,CAFE＆BAR Prime,かふぇあんどばーぷらいむ
5677240,コート・ドール,こーとどーる
7380087,沖縄コナモン,おきなわこなもん
7323411,Bamboo Cafe 北中城店,ばんぶーかふぇ きたなかぐすくてん
7340893,大ちゃん,だいちゃん
6363754,居酒屋くぅ～,いざかやくぅ
3108988,cafe GREEN GREEN,かふぇぐりーんぐりーん
6920466,Gwave Cafe,じーうぇーぶかふぇ
6960618,カラオケハウス ビッグビート,からおけはうすびっぐびーと
7098328,百々庵,ももあん
7078040,ビア・ガーデン B－SIDE,びあがーでんびーさいど
6347702,Vegan Kitchen Olakino Cafe’ Sprout,びーがんきっちんおらきのかふぇすぷらうと
6040233,ロハス・ガーデン樹々,ろはすがーでんじゅじゅ
7349206,BAR Lounge CAVE,ばーらうんじかーぶ
6274656,カフェ スバコ．,かふぇすばこ
6344663,A Danian Cafe,あだにあんかふぇ
5676933,麺一,めんいち
6715169,GEJOL,げじょる
7302491,焼肉 牛角 宜野湾店,やきにくぎゅうかく ぎのわんてん
7220991,cafe 花鳥風月,かふぇかちょうふうげつ
5202154,旬彩食楽 響や 宜野湾店,しゅんさいしょくらくひびきや ぎのわんてん
7088385,KOBA,こば
6254376,カフェ キルト オヴ ハート ベアー,かふぇきるとおゔはーとべあー
6206917,ラクシュミー,らくしゅみー
6416178,TWISTER,ついすたー
6304904,KOMESU屋,こめすや
6277779,ベリーベリー,べりーべりー
7098693,麺屋 弥助 大謝名本店,めんややすけ おおじゃなほんてん
6898012,広州らーめん,こうしゅうらーめん
6077804,悠愉樹庵,ゆうゆじゅあん
6370659,ゆい,ゆい
7137484,カラオケ ドリアン,からおけどりあん
3111396,ステーキハウス ウエスタン,すてーきはうすうえすたん
6399055,柿兵衛,かきべえ
7136892,3丁目の島そば屋 宜野湾店,さんちょうめのしまそばやぎのわんてん
5424753,こけこっこハウス,こけこっこはうす
6433148,だいまる,だいまる
6075988,本家亀そば 北中店,ほんけかめそば きたなかてん
7098431,ハッピーモア市場～薬草ワールド～,はっぴーもあいちばやくそうわーるど
6399048,沖縄の台所 ぱいかじ 沖国大前店,おきなわのだいどころぱいかじ おきこくだいまえてん
7108336,カラオケハウス とまと 宜野湾店,からおけはうすとまと ぎのわんてん
6414876,Jardan！,じゃーだん
5453954,マイ ハウス,まいはうす
5102894,mati－cafe,まてぃかふぇ
6345014,SANS SOUCI,さんすーしぃ
6220612,Global Village,ぐろーばるびれっじ
5081912,天居家,あまいか
6254945,cafe fuuno,かふぇふーの
6399049,大衆居酒屋 寅次郎,たいしゅういざかやとらじろう
6960619,コミックバスター宜野湾愛知店,こみっくばすたーぎのわんあいちてん
6044274,マローニエ,まろーにえ
6402504,CAFE UNIZON,かふぇゆにぞん
5203024,居酒屋大学 中城店,いざかやだいがくなかぐすくてん
6299111,ADAZIO,あだーじお
6433143,ダイニングカフェ ナトゥーラ,だいにんぐかふぇなとぅーら
6970336,トポセシア,とぽせしあ
6189741,洋菓子工房 Petit Sweet,ようがしこうぼうぷちすうぃーと
7194264,博多天ぷらたかおイオンモール沖縄ライカム店,はかたてんぷらたかおいおんもーるおきなわらいかむてん
7357140,隠れ家レストラン プティエトワール,かくれがれすとらんぷてぃえとわーる
6159505,最強食堂 泡瀬店,さいきょうしょくどうあわせてん
7192377,暖暮 中城店,だんぼなかぐすくてん
7272099,大阪王将 宜野湾コンベンションシティ店,おおさかおうしょうぎのわんこんべんしょんしてぃてん
5390697,三郎寿し,さぶろうずし
5897484,ぐすく台所,ぐすくだいどころ
6299095,OKIRAKU cafe,おきらくかふぇ
7083883,ワイン酒場モンカフェ,わいんさかばもんかふぇ
6919796,おきなわ料理 ま～さんや 宜野湾コンベンションシティ店,おきなわりょうりまーさんやぎのわんこんべんしょんしてぃてん
7215030,ソフトシェルタコスの店バリバリ,そふとしぇるたこすのみせばりばり
6084958,やま,やま
6015765,食ダイニング GOT ma-ma,しょくだいにんぐごっとまーま
5440543,なむや,なむや
7159297,KANTIPUR CURRY HOUSE,かんてぃぷーるかれーはうす
6206231,そば専門 そば太郎,そばせんもんそばたろう
7353838,イオンドリップカフェ イオンライカム店,いおんどりっぷかふぇいおんらいかむてん
5796222,コミックハウスまんがかん,こみっくはうすまんがかん
1030882,北の葵 宜野湾店,きたのあおい ぎのわんてん
7205301,Blue Water Shrimp イオンモール沖縄ライカム店,ぶるーうぉーたーしゅりんぷいおんもーるおきなわらいかむてん
5796046,ブーテン・カフェ（BOO-TEN・Cafe）,ぶーてんかふぇ
5329553,吾作,ごさく
7205129,HUNTING POTATO イオンモール沖縄ライカム店,はんてぃんぐぽてといおんもーるおきなわらいかむてん
6022497,エンゼル,えんぜる
7245720,RIPPLE,りっぷる
6198322,ズムズム(ZumZum),ずむずむ
7205039,アメツチテラス 沖縄店,あめつちてらすおきなわてん
6082940,居酒屋 酔仙,いざかやすいせん
7340494,CoCon fouato,ここんふわっと
6077806,食楽家 なかじょう,しょくらくやなかじょう
7194135,Roy’s イオンモール沖縄ライカム店,ろいずいおんもーるおきなわらいかむてん
7094731,Deva,でーゔぁ
7194270,タリーズコーヒー イオンモール沖縄ライカム店,たりーずこーひーいおんもーるおきなわらいかむてん
6306334,北海道ラーメン追風丸 大謝名店,ほっかいどうらーめんはやてまるおおじゃなてん
6339066,お食事処 ゆい,おしょくじどころゆい
7317683,ローストビーフ星 イオンモール沖縄ライカム,ろーすとびーふほしいおんもーるおきなわらいかむ
7337307,ちょい飲み屋台168,ちょいのみやたいいろは
7297718,ミート酒場 當山食堂,みーとさかばとうやましょくどう
6979953,三八木,さんやぎ
6216217,シンディ,しんでぃ
6073592,海産物料理 りゅうぐう,かいさんぶつりょうりりゅうぐう
7205131,焼肉なべしま イオンモール沖縄ライカム店,やきにくなべしまいおんもーるおきなわらいかむてん
6413368,わらく,わらく
5329449,割烹 大将,かっぽうたいしょう

5819485,ショットバーR,しょっとばーあーる
7295259,夢茶巣,むちゃす
5203019,さーふーふー,さーふーふー
5202145,串たつ,くしたつ
7212241,LR,えるあーる
6929980,ちゃんとや,ちゃんとや
7159298,けんぱーのすばやー宜野湾店,けんぱーのすばやーぎのわんてん
7227312,麺屋やまひで 宜野湾店,めんややまひでぎのわんてん
5081932,風来坊,ふうらいぼう
7228492,デザート王国 イオンモール沖縄ライカム,でざーとおうこくいおんもーるおきなわらいかむ
5329450,ニューカッポー,にゅーかっぽー
6190801,パルティーダ,ぱるてぃーだ
6301835,まぐろ亭,まぐろてい
6022627,ホルモン焼サクラ,ほるもんやきさくら
6894570,さぶすりぃ,さぶすりぃ
6730828,ジョイフル 宜野湾コンベンションシティ店,じょいふるぎのわんこんべんしょんしてぃてん
7345417,築地銀だこ イオンモール沖縄ライカム店,つきじぎんだこいおんもーるおきなわらいかむてん
7279471,カラオケ・パーティーハウス フラミンゴ,からおけぱーてぃーはうすふらみんご
5202134,田舎庵,いなかあん
6987691,南国の夜,なんごくのよる
7342129,サーティワンアイスクリーム イオンモール沖縄ライカム店,さーてぃわんあいすくりーむいおんもーるおきなわらいかむてん
6399473,Food＆Bar GARAGE JJ,ふーどあんどばーがれーじじぇいじぇい
7055328,居酒屋 竹馬,いざかやちくば
6744698,Brocante,ぶろかんと
7249952,さしみ屋 浜,さしみやはま
6206448,お食事処 登家,おしょくじどころのぼりや
7272106,コールド・ストーン・クリーマリー イオンモール沖縄ライカム店,こーるどすとーんくりーまりーいおんもーるおきなわらいかむてん
6074586,ラグナガーデンホテル Lounge,らぐながーでんほてるらうんじ
5081940,ユリ,ゆり
7360583,Cafe Orleans Okinawa,かふぇおりんずおきなわ
7316022,琉球レストラン お花,りゅうきゅうれすとらんおはな
5202130,居酒屋ゆんた,いざかやゆんた
5674862,ゲンキ食堂,げんきしょくどう
5795329,E-en,いーえん
7145426,クルミ舎,くるみしゃ
7368924,小料理酒処幸,こりょうりさけどころさち
6773718,コスタビスタ沖縄 LOBBY LOUNGE CAFE VISTA,こすたびすたおきなわろびーらうんじかふぇびすた
7168527,めんらく亭沖縄 琉大東口店,めんらくていおきなわりゅうだいひがしぐちてん
6374120,キンボシ屋,きんぼしや
7227543,我2桜ラーメン,がじろうらーめん
6420891,ALL AMERICAN FOOD A＆W サンエー宜野湾コンベンションシティ店,おーるあめりかんふーどえいあんどだぶりゅーさんえーぎのわんこんべんしょんしてぃてん
